AA.P	Alcoa Inc Pf 3.75
IGC	India Globalization Capital Inc.
IGC.U	India Globalization Capital Inc.
IGC.W	India Globalization Capital
IGE	Goldman Sachs Natural Resources
IGEM	Egshares Industrials Gems ETF
IGF	S&P Global Infrastructure
IGM	Goldman Sachs Technology
IGN	Goldman Sachs Network
IGS	Short Investment Grade Corp
IGU	Proshares Ultra Invt Grade Cor
IGV	Goldman Sachs Software
IHE	DJ U.S. Pharmaceutical
IHF	DJ U.S. Health Care Providers Index
IHI	DJ U.S. Medical Devices
IHT	Innsuites Hospitality Trust
IJH	S&P Midcap 400
IJJ	S&P Midcap 400/Barra Value
IJK	S&P Midcap 400/Barra Growth
IJR	S&P Smallcap 600
IJS	Small Cap 600/Barra Value
IJT	Small Cap 600/Barra Growth
ILF	S&P Latin America 40
IMH	Impac Mortgage Holdings
IMO	Imperial Oil Limited
INCO	Eg Shares India Consumer ETF
INDA	
INDL	Direxion Daily India Bull 3X Shares
INDZ	Direxion Daily India Bear 3X Shares
INFL	
INFU	Infusystems Holdings
INO	Inovio Pharmaceuticals
INP	MSCI India Index Etn
INR	Jpmorgan Usd Emerg Markets Bond
INS	Intelligent Systems Corp.
INSD	
INUV	Inuvo Inc
INV	Innovaro Inc
INXX	Emerging Indxx India Infrastructure
INY	Barclays Ny Muni Bd
IOIL	IQ Global Oil Small Cap ETF
IOO	S&P Global 100
IOT	Income Opportunity Realty Trust
IPAL	
IPB	Merrill Lynch & Co.
IPD	S&P Intl Consumer Sector ETF
IPE	SPDR Tips ETF
IPF	S&P Intl Financial Sector ETF
IPFF	
IPK	S&P Intl Technology Sector ETF
IPN	S&P Intl Industrial Sector ETF
IPS	S&P Intl Consumer Staples Sector ETF
IPT	Iparty Corp.
IPU	S&P Intl Utilities Sector ETF
IPW	S&P Intl Energy Sector ETF
IRV	S&P Intl Materials Sector ETF
IRY	S&P Intl Health Care Sector ETF
ISI	S&P 1500
ISL	Aberdeen Israel Fund
ISR	Isoray
IST	S&P Intl Telecom Sector ETF
ITA	DJ U.S. Aerospace & Defense
ITB	DJ U.S. Home Construction
ITE	Barclays Interm Term Trs
ITF	S&P/Topix 150
ITI	Iteris
ITIP	Ishares International Inflation
ITLT	Powershares Db 3X Italian Treas
ITLY	Powershares Db Italian Treasury
ITM	Intermediate Muni Index ETF
ITR	SPDR Intermediate Term ETF
IVD	Ivax Diagnostics
IVE	S&P 500/Barra Value
IVOG	Vg S&P Mid-Cap 400 Growth ETF
IVOO	Vg S&P Mid-Cap 400 ETF
IVOP	
IVOV	Vg S&P Mid-Cap 400 Value ETF
IVV	S&P 500
IVW	S&P 500/Barra Growth
IWB	Russell 1000 ETF
IWC	Russell Microcap ETF
IWD	Russell 1000 Value ETF
IWF	Russell 1000 Growth ETF
IWL	Russell Top 200 ETF
IWM	Russell 2000 ETF
IWN	Russell 2000 Value ETF
IWO	Russell 2000 Growth ETF
IWP	Russell Midcap Growth ETF
IWR	Russell Midcap ETF
IWS	Russell Midcap Value
IWV	Russell 3000 ETF ETF
IWW	Russell 3000 Value ETF
IWX	Russell Top 200 Value ETF
IWY	Russell Top 200 Growth ETF
IWZ	Russell 3000 Growth ETF
IXC	S&P Global Energy ETF
IXG	S&P Global Financial ETF
IXJ	S&P Global Healthcare ETF
IXN	S&P Global Technology ETF
IXP	S&P Global Telecommunications ETF
IYC	DJ U.S. Consumer
IYE	DJ U.S. Oil And Gas Fund
IYF	DJ U.S. Financials
IYG	DJ U.S. Financial Services
IYH	DJ U.S. Health Care
IYJ	DJ U.S. Industrials
IYK	DJ U.S. Consumer Goods
IYM	DJ U.S. Basic Materials Index
IYR	DJ U.S. Real Estate
IYT	DJ Transportation Average
IYW	DJ U.S. Technology
IYY	DJ U.S. Total Market
IYZ	DJ U.S. Telecommunications
JEM	Barclays Gems Index
JFP	Nuveen Tax-Advantaged Floating Rate Fund
JFT	130/30 Large Cap Index Etn
JGBD	
JGBL	Powershares Db Japanese Govt Bo
JGBS	
JGBT	Powershares Db 3X Japanese Govt
JJA	DJ-UBS Agriculture Tr Etn
JJC	DJ-UBS Copper Tr Etn
JJE	DJ-UBS Energy Tr Etn
JJG	DJ-UBS Grains Tr Etn
JJM	DJ-UBS Ind Metals Tr Etn
JJN	DJ-UBS Nickel Tr Etn
JJP	DJ-UBS Prec Metals Tr Etn
JJS	DJ-UBS Softs Tr Etn
JJT	DJ-UBS Tin Tr Etn
JJU	DJ-UBS Aluminum Tr Etn
JKD	Morningstar Large Core
JKE	Morningstar Large Growth
JKF	Morningstar L V I
JKG	Morningstar Mid Core
JKH	Morningstar Mid Growth
JKI	Morningstar Mid Value
JKJ	Morningstar Small Core
JKK	Morningstar Small Growth
JKL	Morningstar Small Value
JNK	SPDR High Yield Bond ETF
JO	DJ-UBS Coffee Tr Etn
JOB	General Employment Enterprises
JPP	SPDR Russell/Nomura Prime Japan ETF
JPX	Ultrashort Msci Pacific Ex-Japan
JRS	Nuveen Real Estate Fund
JSC	SPDR Russell/Nomura Small Cap Japan
JXI	S&P Global Utilities Sector
JYF	Dreyfus Japanese Yen Fund
JYN	Jpy/Usd Exchange Rate Etn
KBE	SPDR Kbw Bank ETF
KBWB	
KBWD	Kbw High Dividend Yield Financial ETF
KBWP	Kbw Property & Casualty Insurance ETF
KBWR	
KBWX	Kbw International Financial ETF
KBWY	Kbw Premium Yield Equity Reit ETF
KBX	Kimber Resources Inc
KCE	SPDR Kbw Capital Markets ETF
KGN	Keegan Resources Inc
KIE	SPDR Kbw Insurance ETF
KLD	Kld Select Social
KME	SPDR Kbw Mortgage Finance ETF
KNOW	
KOL	Coal ETF
KOLD	
KRE	SPDR Kbw Regional Banking ETF
KROO	IQ Australia Small Cap ETF
KRS	Short Kbw Regional Banking
KRU	Ultra Kbw Regional Banking
KUN	China Shenghuo Pharmaceutical
KWT	ETF Trust
KXI	S&P Global Consumer Staples Sector
KXM	Kobex Minerals Inc.
LAG	SPDR Barclays Aggregate Bond ETF
LAQ	Latin America Equity Fund
LATM	Latin America Small-Cap Index ETF
LBJ	Direxion Latin America 3X Bull Shares
LBND	DB 3X Long 25+ Year T-Bond
LBTA	Russell 1000 Low Beta ETF
LBY	Libbey
LCI	Lannett Co Inc
LD	DJ-UBS Lead Tr Etn
LDX	Bank Of America Corp.
LEDD	Ipath Pure Beta Lead Etn
LEI	Lucas Energy
LEMB	
LGEM	Egshares Basic Materials Gems
LGL	Lgl Group
LHB	Direxion Latin America Bear 3X Shares
LIT	Global X Lithium ETF
LMZ	Bank Of America Corp.
LNG	Cheniere Energy
LODE	Comstock Mining Inc
LON	Loncor Resources Inc
LOV	Spark Networks Plc
LPAL	
LPH	Longwei Petroleum Investment Holding
LPLT	
LQD	Tm Corporate Bond Fund
LSC	Hsbc Usa
LSG	Lake Shore Gold Corp
LSKY	
LSTK	Ipath Pure Beta Livestock Etn
LTL	Ultra Telecommunications Proshares
LTPZ	Pimco 15+ Year U.S. Tips
LTS	Ladenburg Thalmann Financial Inc
LVL	Global Dividend Opportunities ETF
LVOL	Russell 1000 Low Volatility ETF
LWC	SPDR Long Term ETF
LWPE	Russell Low P E  ETF
MAB	Eaton Vance Massachusetts Muni Bond
MATH	Meidell Tactical Advantage ETF
MATL	Direxion Daily Basic Materials
MATS	Direxion Daily Basic Materials
MBA	Cibt Education Group Inc.
MBB	Barclays Mbs Bond Fund
MBC	3% Min. Coupon Ppn On Russell 2000
MBF	Min Coupon On S&P Midcap 400 Index
MBG	SPDR Mortgage Backed Bond ETF
MBL	Bank Of America Corp.
MCF	Contango Oil & Gas Company
MCHI	Ishares Msci China Index Fund
MCRO	IQ Hedge Macro Tracker ETF
MCZ	Mad Catz Interactive Inc
MDD	S&P Intl Mid Cap ETF
MDG.W	Medgenics Inc
MDGN	Medgenics Inc. Common Stock
MDM	Mountain Province Diamonds Inc.
MDW	Midway Gold Corp.
MDY	Midcap Spdr
MDYG	S&P 400 Mid Cap Growth ETF
MDYV	S&P 400 Mid Cap Value ETF
MEA	Metalico Inc
MES	Gulf States Index ETF
MEXS	Global X Mexico Small Cap ETF
MFN	Minefinders Corp. Ltd
MFSA	Short Enhanced Msci Eafe Index
MGC	Vg Mega Cap 300 ETF
MGH	Minco Gold Corp.
MGJ	Bank Of America Corp.
MGK	Vg Mega Cap 300 Growth
MGN	Mines Management
MGT	Mgt Capital Investments Inc
MGV	Vg Mega Cap 300 Value
MHC	2% Minimum Coupon On Spx
MHE	Massachusetts Health And Education Tax-Exempt Tr
MHH	Mastech Holdings Inc
MHM	Bank Of America Corp.
MHR-C	Magnum Hunter Resour
MHR-D	Magnum Hunter Resources Corpora
MHW	Bank Of America Corp.
MINT	Pimco Enhanced Short Maturity Strategy Fund
MIW	Eaton Vance Michigan Muni Bond Fund
MJC	3% Min Coupon On Russell 2000 Index
MKF	Bank Of America Corp.
MKN	3% Min Coupon Principal DJ-Aig Commodity Excess
MKZ	Min Coupon Ppn On Dow Jones-UBS Commodity Index
MLA	Bank Of America Corp.
MLN	Long Muni Index ETF
MLPG	Alerian Natural Gas Mlp Etn
MLPI	Alerian Mlp Infrastructure Etn
MLPL	Double Long Alerian Mlp Infrast Etn
MLPN	Credit Suisse Cushing 30 Mlp Index Etn
MLPS	Short Alerian Mlp Infrast Tr
MLPW	Ag Wells Fargo Mlp
MLPY	Morgan Stanley Cushing High Income Index Etn
MMF	Bank Of America Corp.
MMV	Eaton Vance Massachusetts Muni Income Trust
MNA	IQ Merger Arbitrage ETF
MOC	Command Security Corp.
MOL	2% Min Coupon Based On Gold
MOO	Agribusiness ETF
MORT	Market Vectors Mortgage Reit In
MOU	3% Principal Protected Notes Based On Russell 20
MPE	Bank Of America Corp.
MQC	Bank Of America Corp.
MSC	Bank Of America Corp.
MSL	Midsouth Bancorp
MSN	Emerson Radio Corp.
MSS	Merrill Lynch & Co.
MTK	SPDR Morgan Stanley Technology [Etf]
MTY	3% Min Coupon Ppm On Price Of Gold
MUAA	2012 S&P Amt-Free Muni Series
MUAB	2013 S&P Amt-Free Muni Series
MUAC	2014 S&P Amt-Free Muni Series
MUAD	2015 S&P Amt-Free Muni Series
MUAE	2016 S&P Amt-Free Muni Series
MUAF	2017 S&P Amt-Free Muni Series
MUB	S&P National Muni Bond Fund
MUK	3% Min Coupon Ppn On Spx
MUNI	Pimco Intermediate Muni Bond Strategy Fund
MVF	Munivest Fund
MVG	Mag Silver Corp.
MVV	Ultra Midcap 400
MWJ	Direxion Mid Cap Bull 3X Shares
MWN	Direxion Mid Cap Bear 3X Shares
MXA	Minnesota Muni Income Portfolio Inc.
MXC	Mexco Energy Corp.
MXH	Merrill Factor Model
MXI	S&P Global Materials Sector
MXN	First American Minnesota Muni Ii
MYP	3% Min Coupon Principal Protected Notes Based On
MYY	Short Midcap 400
MZA	Muniyield Arizona Fund
MZZ	Ultrashort Midcap 400
NAGS	Teucrium Natural Gas Etv
NAK	Northern Dynasty Minerals
NASI	Pax Msci North America Esg Index ETF
NAVB	Neoprobe Corp.
NBH	Neuberger Berman Intermediate Fund Inc.
NBJ	Nuveen Ohio Divadv Fund 2
NBJ-A	Nuveen Ohio Divd Adv Mun Fd 2
NBO	Neuberger Berman New York Intermediate Fund Inc.
NBS	Neostem
NBS.W	Neostem
NBW	Neuberger Berman California Intermediate Fund In
NBY	Novabay Pharmaceuticals
NCB	Nuveen California Muni Value Fund 2
NCU	Nuveen California Premium Fund
NEA	Nuveen Insured Tax-Free Advantage Fund
NEN	New England Realty Associates Limited Partnershi
NEP	China North East Petroleum Holdings
NEWN	New Energy Systems Group.
NFC	Nuveen Connecticut Divadv Fund
NFM	Nuveen Maryland Divadv Fund
NFO	Guggenheim Insider ETF
NFZ	Nuveen Arizona Divadv Fund
NFZ-C	Nuveen Arizona Dividend Advanta
NG	Novagold Resources Inc New
NGB	Nuveen Virginia Divadv Fund
NGD	New Gold Inc.
NGK	Nuveen Connecticut Divadv Fund 2
NGO	Nuveen Connecticut Divadv Fund 3
NGX	Nuveen Insured Massachusetts Tax-Free
NHC	National Healthcare Corp.
NHC-A	National Hlthcare Sr
NHS	Neuberger Berman High Yield Strategies
NIB	DJ-UBS Cocoa Tr Etn
NII	Nuveen North Carolina Divadv Fund 3
NINI	Ipath Pure Beta Nickel Etn
NJV	Nuveen New Jersey Muni Value Fund
NKG	Nuveen Georgia Divadv Fund 2
NKL	Nuveen Insured California Divadv Fund
NKO	Nuveen Insured New York Divadv Fund
NKR	Nuveen Arizona Divadv Fund 2
NKX	Nuveen Insured California Tax-Free
NKY	Maxis Nikkei 225 Index Fund ETF
NLP	Nts Realty Holdings Limited Partnership
NLR	Uranium & Nuclear Energy ETF
NMB	Nuveen Massachusetts Divadv Fund
NMB-C	Nuveen Massachusetts Dividend A
NMZ	Nuveen Muni High Income Opportunity
NNB	Nuveen Virginia Divadv Fund 2
NNO	Nuveen North Carolina Divadv Fund 2
NOG	Northern Oil And Gas
NOM	Nuveen Missouri Premium Fund
NOMO	
NORW	Global X Ftse Norway 30 ETF
NPG	Nuveen Georgia Premium Fund
NPN	Nuveen Pennsylvania Muni Value Fund
NRB	Nuveen North Carolina Divadv Fund
NRK	Nuveen Insured New York Tax-Free
NRO	Neuberger Berman Real Estate Securities
NSU	Nevsun Resources Ltd
NTN	Ntn Buzztime
NTS	
NUGT	Direxion Daily Gold Miners Bull 3X Shares
NUJ	Nuveen New Jersey Divadv Fund 2
NVG	Nuveen Insured Divadv Fund
NVJ	Nuveen Ohio Divadv Fund 3
NVJ-A	Nuveen Ohio Dividend Advantage
NVX	Nuveen California Divadv Fund 2
NVY	Nuveen Pennsylvania Divadv Fund 2
NWI	Nuveen Maryland Divadv Fund 3
NXE	Nuveen Arizona Divadv Fund 3
NXI	Nuveen Ohio Divadv Fund
NXI-D	Nuveen Ohio Dividend Advantage
NXJ	Nuveen New Jersey Divadv Fund
NXK	Nuveen New York Divadv Fund 2
NXM	Nuveen Pennsylvania Divadv Fund
NXZ	Nuveen Divadv Fund 2
NY	NYSE Composite
NYC	NYSE 100 ETF
NYF	S&P Ny Muni
NYH	Eaton Vance New York Muni Bond Fund Ii
NYV	Nuveen New York Muni Value Fund 2
NZF	Nuveen Divadv Fund 3
NZH	Nuveen California Divadv Fund 3
NZR	Nuveen Maryland Divadv Fund 2
NZW	Nuveen Michigan Divadv Fund
NZW-C	Nuveen Michigan Dividend Advant
NZX	Nuveen Georgia Divadv Fund
NZX-C	Nuveen Georgia Dividend Advanta
OBT	Orbital Corp Ltd
OEF	S&P 100 ETF
OESX	Orion Energy Systems
OFF	
OFI	Overhill Farms
OGEM	Egshares Energy Gems ETF
OIH	Market Vectors Oil Services ETF
OIL	S&P GSCI Crude Oil Tr Etn
OILZ	Oil Futures Contango Etn Due Ju
OLEM	Ipath Pure Beta Crude Oil Etn
OLO	DB Crude Oil Long Etn
ONEF	One Fund ETF
ONG	Ipath Pure Beta Energy Etn
ONN	
ONP	Orient Paper
OTP	Guggenheim Ocean Tomo Patent ETF
OTR	Guggenheim Ocean Tomo Growth ETF
PAF	FTSE Rafi Asia Pacific Ex-Japan
PAL	North American Palladium
PALL	ETFs Physical Palladium Shares
PAO	Riverfront Tactical Balanced Growth
PBD	Global Clean Energy Portfolio
PBE	Dynamic Biotech &Genome
PBJ	Dynamic Food & Beverage
PBM	Pacific Booker Minerals Inc
PBP	S&P 500 Buywrite Portfolio
PBS	Dynamic Media
PBTH	Prolor Biotech
PBW	Wilderhill Clean Energy Portfolio
PCA	Riverfront Tactical Growth & Income
PCC	Pmc Commercial Trust
PCE	Pacific Office Properties Trust Inc
PCEF	Cef Income Composite Portfolio
PCG-A	Pacific Gas El 6.00
PCG-B	Pacific Gas El 5.50
PCG-C	Pacific Gas El 5.00
PCG-D	Pacific Gas El 5.00
PCG-E	Pacific Gas El 5.00
PCG-G	Pacific Gas El 4.80
PCG-H	Pacific Gas El 4.50
PCG-I	Pacific Gas El 4.36
PCY	Emerging Markets Sovereign Debt
PCYG	Park City Group
PDC	Pioneer Drilling Co
PDN	FTSE Rafi Developed Markets Ex-U.S.
PDO	Pyramid Oil Co
PDP	Dwa Technical Leaders Portfolio
PEJ	Dynamic Leisure & Entertainment
PEK	China ETF
PEY	High Yield Equity Dividend Achievers
PEZ	Dynamic Consumer Discretionary
PFA	Dynamic Developed International
PFF	S&P US Preferred Stock Fund
PFI	Dynamic Financial
PFIG	
PFM	Dividend Achievers
PGD	Barclays Asian & Gulf Currency Reval
PGF	Financial Preferred
PGJ	Golden Dragon Halter Usx China
PGM	DJ-UBS Platinum Tr Etn
PGX	Preferred Portfolio
PHB	High Yield Corporate Bond
PHF	Pacholder High Yield Fund
PHO	Water Resource Port
PHYS	Sprott Physical Gold Trust Etv
PIC	Dynamic Insurance
PICB	International Portfolio
PICK	
PID	Intl Dividend Achievers
PIE	Dwa Emerging Market Technical
PIN	India Portfolio
PIO	Global Water Portfolio
PIP	Pharmathene Inc
PIQ	Dynamic Magniquant
PIV	S&P 500 High Quality Portfolio
PIZ	Dwa Developed Market Technical
PJB	Dynamic Banking
PJP	Dynamic Pharmaceuticals
PKB	Dynamic Build & Construction
PKN	Global Nuclear Portfolio
PKW	Buyback Achievers
PLG	Platinum Group Metals Ltd
PLK	Active Low Duration Fund
PLM	Polymet Mining
PLND	Poland ETF
PLW	1-30 Treasury Ladder Portfolio
PLX	Protalix Biotherapeutics
PMA	Active Mega Cap Fund
PMR	Dynamic Retail
PPA	Aerospace & Defense
PPH	Market Vectors Pharmaceutical E
PPLT	ETFs Physical Platinum Shares
PPW.P	Pacificorp 5 Pr
PPY	Ms 2.8 Mrk Participation Sec Linked To DJ High 2
PRB	Pre-Refunded Muni Index ETF
PRF	FTSE Rafi US 1000 Portfolio
PRK	Park National Corp.
PRN	PowerShares Exchange-Traded Fund Trust
PSI	Dynamic Semiconductors
PSJ	Dynamic Software
PSK	SPDR Wells Fargo Preferred Stock ETF
PSL	Dynamic Consumer Staples
PSLV	Sprott Physical Silver Trust Etv
PSP	Listed Private Equity
PSQ	Short QQQ
PSR	Active U.S. Real Estate Fund
PST	Ultrashort 7-10 Year Treasury
PTD	Cmci Short Platinum Er Etn
PTF	Dynamic Technology
PTH	Dynamic Heathcare
PTM	Cmci Long Platinum Tr Etn
PTN	Palatin Technologies
PTO	Ibbotson Alternative Completion
PTX	Golf Trust Of America
PUI	Dynamic Utilities
PUW	Wilderhill Progressive Energy
PVI	Vrdo Tax Free Weekly Portfolio
PW	Pittsburgh & West Virginia Railroad
PWB	Dynamic Largecap Growth
PWC	Power Shares Xtf Dynamic Market
PWO	Power Shares Xtf Dynamic Otc
PWV	Dynamic Largecap Value
PWZ	Insured Ca Muni Bond Portfolio
PXE	Dynamic Energy E&P
PXF	FTSE Rafi Developed Markets Ex-U.S.
PXH	FTSE Rafi Emerging Markets Portfolio
PXI	Dynamic Energy
PXJ	Dynamic Oil Services
PXLC	Powershares Fundamental Pure Large Core
PXLG	Powershares Fundamental Pure La
PXLV	Powershares Fundamental Pure La
PXMC	Powershares Fundamental Pure Mid Core
PXMG	Powershares Fundamental Pure Mid Growth
PXMV	Powershares Fundamental Pure Mid Value
PXN	Lux Nanotech Portfolio
PXQ	Dynamic Networking
PXR	Global Emerging Markets Infrastructure
PXSC	Powershares ETF Dynamic Small Cap Portfolio
PXSG	Powershares Fundamental Pure Small Growth
PXSV	Powershares Fundamental Pure Small Value
PYH	Morningstar Stockinvestor Core Portfolio
PYZ	Dynamic Basic Materials
PZA	Insured National Muni Bond Portfolio
PZD	Cleantech Portfolio
PZG	Paramount Gold And Silver
PZI	Zacks Micro Cap
PZT	Insured Ny Muni Bond Portfolio
QAI	IQ Hedge Multiiq Hedge Tracker ETF
QBC	Cubic Energy Inc
QGEM	Egshares Technology Gems ETF
QID	Ultrashort QQQ Proshares
QLD	Ultra QQQ
QLT	
QMM	Quaterra Resources Inc
QPSA	Quepasa Corp.
QRM	Quest Rare Minerals Ltd
RALS	Proshares Rafi Long Short ETF
RBL	S&P Russia ETF
RBY	Rubicon Minerals Corp
RCD	S&P Equal Weight Consumer Discretionary
RCG	Renaissance Capital Growth & Income Fund III
REE	Rare Element Res Ltd
REK	Short Real Estate
REM	FTSE Nareit Mortgage Reits
REMX	Rare Earth Strategic Metals ETF
RETL	Direxion Daily Retail Bull 3X Shares
RETS	Direxion Daily Retail Bear 3X Shares
REW	Ultrashort Technology
REZ	FTSE Nareit Residential
RFA	Blackrock Florida Muni Trust Inc.
RFG	S&P Midcap 400 Pure Growth
RFV	S&P Midcap 400 Pure Value
RGI	S&P Equal Weight Industrials ETF
RHS	S&P Equal Weight Consumer Staples ETF
RIC	Richmont Mines
RIF	Rmr Real Estate Income Fund
RING	
RJA	Rogers Intl Comm Agri Etn
RJI	Rogers Intl Commodity Etn
RJN	Rogers Intl Comm Engy Etn
RJZ	Rogers Intl Comm Metal Etn
RKH	Market Vectors Bank And Brokera
RLGT	
RMB	
RNJ	Blackrock New Jersey Muni Trust Inc.
RNN	Rexahn Pharmaceuticals
RNY	Blackrock New York Muni Trust Inc.
ROI	Largecap Growth Fund
ROM	Ultra Technology
ROOF	IQ US Real Estate Small Cap ETF
ROSA	Short Extended Russell 1000 Tr Index
ROX	Castle Brands
RPG	S&P 500 Pure Growth ETF
RPI	Roberts Realty Investors
RPV	S&P 500 Pure Value ETF
RPX	Rp Growth ETF
RRF	Wisdomtree Global Real Return F
RSP	S&P Equal Weight ETF
RSU	2X S&P 500 ETF
RSW	Inverse 2X S&P 500 ETF
RSX	Tr Russia ETF
RSXJ	Market Vectors Russia Small Ca
RSY	Merrill Lynch & Co.
RTH	Market Vectors Retail ETF
RTK	Rentech
RTL	FTSE Nareit Retail
RTLA	Short Extended Russell 1000 Tr Index
RTM	S&P Equal Weight Materials ETF
RTR	Revenueshares Adr
RTSA	Short Extended Russell 2000 Tr Index
RUSL	Direxion Daily Russia Bull 3X S
RUSS	Direxion Daily Russia Bear 3X S
RVM	Revett Minerals Inc
RVP	Retractable Technologies
RVR	White River Capital
RWC	Relm Wireless Corp.
RWG	Rp Focused Large Cap Growth ETF
RWJ	Revenueshares Small Cap
RWK	Revenueshares Mid Cap
RWL	Revenueshares Large Cap
RWM	Short Russell 2000
RWO	SPDR DJ Wilshire Global Real Estate ETF
RWR	SPDR Dow Jones Reit ETF
RWV	Revenueshares Navallier Overall A-100
RWW	Revenueshares Financials Sector
RWX	SPDR DJ Wilshire Intl Real Estate
RXD	Ultrashort Health Care
RXI	S&P Global Consumer Discretionary Sector
RXL	Ultra Health Care
RYE	S&P Equal Weight Energy ETF
RYF	S&P Equal Weight Financial ETF
RYH	S&P Equal Weight Health Care ETF
RYJ	Guggenheim Raymond James Sb-1 Equity Fund
RYT	S&P Equal Weight Technology ETF
RYU	S&P Equal Weight Utilities ETF
RZG	S&P Sc 600 Pure Growth
RZV	S&P Sc 600 Pure Value
SA	Seabridge Gold
SAA	Ultra Smallcap600
SAGG	Direxion Daily Total Bond Marke
SAL	Salisbury Bancorp
SARA	Saratoga Res Inc
SBA	Bank Of America Corp.
SBB	Short Smallcap600
SBI	Western Asset Intermediate Fund Inc
SBM	Short Basic Materials
SBND	DB 3X Short 25+ Year T-Bond
SCC	Ultrashort Consumer Services
SCE-B	South Ca Edis 408 Pf
SCE-C	South Ca Edis 424 Pf
SCE-D	South Ca Edis 431 Pf
SCE-E	South Ca Edis 478 Pf
SCHA	Schwab U.S. Small-Cap ETF
SCHB	Schwab U.S. Broad Market ETF
SCHC	Schwab International Small-Cap Equity ETF
SCHD	
SCHE	Schwab Emerging Markets Equity ETF
SCHF	Schwab International Equity ETF
SCHG	Schwab U.S. Large-Cap Growth ETF
SCHH	Schwab U.S. Reit ETF
SCHM	Schwab U.S. Mid Cap ETF
SCHO	Schwab Short-Term U.S. Treasury ETF
SCHP	Schwab U.S. Tips ETF
SCHR	Schwab Intermediate-Term U.S. Treasury ETF
SCHV	Schwab U.S. Large-Cap Value ETF
SCHX	Schwab U.S. Large-Cap ETF
SCHZ	Schwab US Aggregate Bond ETF
SCIF	India Small-Cap Index ETF
SCIN	Emerging Indxx India Small Cap
SCJ	MSCI Japan Sm Cap
SCO	Ultrashort DJ-Aig Crude Oil
SCPB	SPDR Short Term ETF
SCT	Bank Of America Corp.
SCZ	MSCI Eafe Small Cap
SDA	Bank Of America Corp.
SDD	Ultrashort Smallcap600
SDIV	Global X Superdividend ETF
SDK	Ultrashort Russell Midcap Growth
SDO-A	San Diego 6 E 5 Pfd
SDO-B	San Diego 6 E 450 Pe
SDO-C	San Diego 6 E 440 Pf
SDO-H	Sandiego G & E Prf
SDOW	Ultrapro Short Dow 30
SDP	Ultrashort Utilities
SDS	Ultrashort S&P 500 Proshares
SDY	S&P Dividend ETF
SEA	Guggenheim Shipping ETF
SEB	Seaboard Corp.
SED	Sun Entertainment Holding Corporation
SEF	Short Financials
SFK	Ultrashort Russell 1000 Growth
SFLA	Long Extended S&P 500 Tr Index
SFSA	Short Extended S&P 500 Tr Index
SGA	Saga Communications
SGAR	Ipath Pure Beta Sugar Etn
SGB	Southwest Georgia Financial Corp.
SGG	DOW Jones-UBS Sugar Tr Etn
SGOL	ETFs Physical Swiss Gold Shares
SGS	Stream Global Services Inc
SH	Short S&P500
SHBT	Russell 2000 High Beta ETF
SHM	Barclays S/T Muni Bd
SHMO	Russell 2000 High Momentum ETF
SHN	Bank Of America Corp.
SHV	Barclays Short Treasury Bond Fund
SHVY	Russell 2000 High Volatility ETF
SHY	Barclays 1-3 Year Treasury Bond Fund
SHZ	China Shen Zhou Mining & Resources
SICK	Direxion Daily Healthcare Bear
SIF	Sifco Industries
SIHI	Sinohub Inc
SIJ	Ultrashort Industrials
SIL	Global X Silver Miners ETF
SILU	Sprott Resource Lending
SIM	Grupo Simec S.A. De C.V.
SIVR	ETFs Silver Trust
SIZ	
SJB	Short High Yield
SJF	Ultrashort Russell 1000 Value
SJH	Ultrashort Russell 2000 Value
SJL	Ultrashort Russell Midcap Value
SKF	Ultrashort Financials
SKK	Ultrashort Russell 2000 Growth
SKOR	IQ South Korea Small Cap ETF
SLBT	Russell 2000 Low Beta ETF
SLI	Sl Industries
SLV	Silver Trust
SLVP	
SLVY	Russell 2000 Low Volatility ETF
SLX	Steel Index ETF Fund
SLY	S&P 600 Small Cap ETF
SLYG	S&P 600 Small Cap Growth ETF
SLYV	S&P 600 Small Cap Value ETF
SMB	Short Muni Index ETF
SMDD	Ultrapro Short Midcap 400
SMH	Market Vectors Semiconductor Et
SMK	Ultrashort Msci Mexico
SMMU	Short Term Muni Bond Strategy Fund
SMN	Ultrashort Basic Materials
SMU	Bank Of America Corp.
SNK	Bank Of America Corp.
SNT	Senesco Technologies Inc
SOIL	Global X Fertilizer Potash ETF
SOQ	Sonde Resources Corp
SOS	Bank Of America Corp.
SOXL	Direxion Semiconductor Bull 3X Shares
SOXS	Direxion Semiconductor Bear 3X Shares
SOYB	
SPGH	S&P 500 Gold Hedged Etn
SPHB	Powershares S&P 500 High Beta P
SPLV	Powershares S&P 500 Low Volatil
SPXU	Ultrapro Short S&P500
SPY	SPDR S&P 500 ETF
SPYG	S&P 500 Growth ETF
SPYV	S&P 500 Value ETF
SRS	Ultrashort Real Estate
SRTY	Ultrapro Short Russell 2000
SSAM	
SSDL	
SSE	Southern Connecticut Bancorp Inc
SSG	Ultrashort Semiconductors
SSN	Samson Oil & Gas Limited
SSO	Ultra S&P 500 Proshares
SSY	Sunlink Health Systems
STIP	Barclays 0-5 Year Tips Bond Fund
STPP	US Treasury Steepener Etn
STPZ	Pimco 1-5 Year U.S. Tips
STS	Supreme Industries
SUB	S&P Short Trm National Muni Bond
SVBL	Silver Bull Resources Inc
SVT	Servotronics
SVW	Bank Of America Corp.
